Airline,"Average Seat Comfort Rating","Average Staff Service Rating","Average Food & Beverage Rating","Average Inflight Entertainment Rating","Average Value for Money Rating"
"Singapore Airlines",3.7,3.9,3.5,3.9,3.4
"Qatar Airways",4.0,4.3,3.9,4.1,3.8
"All Nippon Airways",4.1,4.5,4.0,3.9,4.2
Emirates,3.2,3.0,3.0,3.7,2.8
"Japan Airlines",3.9,4.2,3.8,3.5,3.7
