Airline,Recommended,"Customer Satisfaction"
"All Nippon Airways",yes,214
"All Nippon Airways",no,44
Emirates,yes,530
Emirates,no,820
"Japan Airlines",yes,128
"Japan Airlines",no,60
"Qatar Airways",yes,1179
"Qatar Airways",no,445
"Singapore Airlines",yes,626
"Singapore Airlines",no,346
